Individual_118	7.7	3.8	6.7	2.2	
Individual_119	7.7	2.6	6.9	2.3	
Individual_120	6.0	2.2	5.0	1.5	
Individual_121	6.9	3.2	5.7	2.3	
Individual_122	5.6	2.8	4.9	2.0	
Individual_123	7.7	2.8	6.7	2.0	
Individual_124	6.3	2.7	4.9	1.8	
Individual_125	6.7	3.3	5.7	2.1	
Individual_126	7.2	3.2	6.0	1.8	
Individual_127	6.2	2.8	4.8	1.8	
Individual_128	6.1	3.0	4.9	1.8	
Individual_129	6.4	2.8	5.6	2.1	
Individual_130	7.2	3.0	5.8	1.6	
Individual_131	7.4	2.8	6.1	1.9	
Individual_132	7.9	3.8	6.4	2.0	
Individual_133	6.4	2.8	5.6	2.2	
Individual_134	6.3	2.8	5.1	1.5	
Individual_135	6.1	2.6	5.6	1.4	
Individual_136	7.7	3.0	6.1	2.3	
Individual_137	6.3	3.4	5.6	2.4	
Individual_138	6.4	3.1	5.5	1.8	
Individual_139	6.0	3.0	4.8	1.8	
Individual_140	6.9	3.1	5.4	2.1	
Individual_141	6.7	3.1	5.6	2.4	
Individual_142	6.9	3.1	5.1	2.3	
Individual_143	5.8	2.7	5.1	1.9	
Individual_144	6.8	3.2	5.9	2.3	
Individual_145	6.7	3.3	5.7	2.5	
Individual_146	6.7	3.0	5.2	2.3	
Individual_147	6.3	2.5	5.0	1.9	
Individual_148	6.5	3.0	5.2	2.0	
Individual_149	6.2	3.4	5.4	2.3	
Individual_150	5.9	3.0	5.1	1.8	

